Header:
00000000: 6C 6F 6F 70 65 72 00 FF  02 00 56 00 88 02 01 03  looper....V.....
00000010: 60 04 61 04 62 04 63 04  64 04 65 04 66 04 67 04  `.a.b.c.d.e.f.g.
None

Base Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Overdub Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Total
Unique values:  427

Base               : Overdub
0.56542056 0x075F -> 0x0000075F
0.56775701 0x0760 -> 0x00000760
0.57009346 0x0761 -> 0x00000761
0.57242991 0x0762 -> 0x00000762
0.57476636 0x0763 -> 0x00000763
0.57710280 0x0764 -> 0x00000764
0.57943925 0x0765 -> 0x00000765
0.58177570 0x0766 -> 0x00000766
0.58411215 0x0767 -> 0x00000767
0.58644860 0x0768 -> 0x00000768
0.58878505 0x0769 -> 0x00000769
0.59112150 0x076A -> 0x0000076A
0.59345794 0x076B -> 0x0000076B
0.59579439 0x076C -> 0x0000076C
0.59813084 0x076D -> 0x0000076D
0.60046729 0x076E -> 0x0000076E
0.60280374 0x076F -> 0x0000076F
0.60514019 0x0563 -> 0x00000563
0.60747664 0x0564 -> 0x00000564
0.60981308 0x0565 -> 0x00000565
0.61214953 0x0566 -> 0x00000566
0.61448598 0x0567 -> 0x00000567
0.61682243 0x0568 -> 0x00000568
0.61915888 0x0569 -> 0x00000569
0.62149533 0x056A -> 0x0000056A
0.62383178 0x056B -> 0x0000056B
0.62616822 0x056C -> 0x0000056C
0.62850467 0x056D -> 0x0000056D
0.63084112 0x056E -> 0x0000056E
0.63317757 0x056F -> 0x0000056F
0.63551402 0x0570 -> 0x00000570
0.63785047 0x0571 -> 0x00000571
0.64018692 0x0572 -> 0x00000572
0.64252336 0x0573 -> 0x00000573
0.64485981 0x0574 -> 0x00000574
0.64719626 0x0575 -> 0x00000575
0.64953271 0x0576 -> 0x00000576
0.65186916 0x0577 -> 0x00000577
0.65420561 0x0578 -> 0x00000578
0.65654206 0x0579 -> 0x00000579
0.65887850 0x057A -> 0x0000057A
0.66121495 0x057B -> 0x0000057B
0.66355140 0x057C -> 0x0000057C
0.66588785 0x057D -> 0x0000057D
0.66822430 0x057E -> 0x0000057E
0.67056075 0x057F -> 0x0000057F
0.67289720 0x0580 -> 0x00000580
0.67523364 0x0581 -> 0x00000581
0.67757009 0x0582 -> 0x00000582
0.67990654 0x0583 -> 0x00000583
0.68224299 0x0584 -> 0x00000584
0.68457944 0x0585 -> 0x00000585
0.68691589 0x0586 -> 0x00000586
0.68925234 0x0587 -> 0x00000587
0.69158879 0x0588 -> 0x00000588
0.69392523 0x0589 -> 0x00000589
0.69626168 0x058A -> 0x0000058A
0.69859813 0x058B -> 0x0000058B
0.70093458 0x058C -> 0x0000058C
0.70327103 0x058D -> 0x0000058D
0.70560748 0x058E -> 0x0000058E
0.70794393 0x058F -> 0x0000058F
0.71028037 0x0590 -> 0x00000590
0.71261682 0x0591 -> 0x00000591
0.71495327 0x0592 -> 0x00000592
0.71728972 0x0593 -> 0x00000593
0.71962617 0x0594 -> 0x00000594
0.72196262 0x0595 -> 0x00000595
0.72429907 0x0596 -> 0x00000596
0.72663551 0x0597 -> 0x00000597
0.72897196 0x0598 -> 0x00000598
0.73130841 0x0599 -> 0x00000599
0.73364486 0x059A -> 0x0000059A
0.73598131 0x059B -> 0x0000059B
0.73831776 0x059C -> 0x0000059C
0.74065421 0x059D -> 0x0000059D
0.74299065 0x059E -> 0x0000059E
0.74532710 0x059F -> 0x0000059F
0.74766355 0x05A0 -> 0x000005A0
0.75000000 0x05A1 -> 0x000005A1
0.75233645 0x05A2 -> 0x000005A2
0.75467290 0x05A3 -> 0x000005A3
0.75700935 0x05A4 -> 0x000005A4
0.75934579 0x05A5 -> 0x000005A5
0.76168224 0x05A6 -> 0x000005A6
0.76401869 0x05A7 -> 0x000005A7
0.76635514 0x0770 -> 0x00000770
0.76869159 0x0772 -> 0x00000772
0.77102804 0x0773 -> 0x00000773
0.77336449 0x0774 -> 0x00000774
0.77570093 0x0775 -> 0x00000775
0.77803738 0x0776 -> 0x00000776
0.78037383 0x0777 -> 0x00000777
0.78271028 0x0778 -> 0x00000778
0.78504673 0x0779 -> 0x00000779
0.78738318 0x077A -> 0x0000077A
0.78971963 0x077B -> 0x0000077B
0.79205607 0x077C -> 0x0000077C
0.79439252 0x077D -> 0x0000077D
0.79672897 0x077E -> 0x0000077E
0.79906542 0x077F -> 0x0000077F
0.80140187 0x0780 -> 0x00000780
0.80373832 0x0781 -> 0x00000781
0.80607477 0x0782 -> 0x00000782
0.80841121 0x0783 -> 0x00000783
0.81074766 0x0784 -> 0x00000784
0.81308411 0x0785 -> 0x00000785
0.81542056 0x0786 -> 0x00000786
0.81775701 0x0787 -> 0x00000787
0.82009346 0x0788 -> 0x00000788
0.82242991 0x0789 -> 0x00000789
0.82476636 0x078A -> 0x0000078A
0.82710280 0x078B -> 0x0000078B
0.82943925 0x078C -> 0x0000078C
0.83177570 0x078D -> 0x0000078D
0.83411215 0x078E -> 0x0000078E
0.83644860 0x05C6 -> 0x000005C6
0.83878505 0x05C7 -> 0x000005C7
0.84112150 0x05C8 -> 0x000005C8
0.84345794 0x05C9 -> 0x000005C9
0.84579439 0x05CA -> 0x000005CA
0.84813084 0x05CB -> 0x000005CB
0.85046729 0x05CC -> 0x000005CC
0.85280374 0x05CD -> 0x000005CD
0.85514019 0x05CE -> 0x000005CE
0.85747664 0x05CF -> 0x000005CF
0.85981308 0x05D0 -> 0x000005D0
0.86214953 0x05D1 -> 0x000005D1
0.86448598 0x05D2 -> 0x000005D2
0.86682243 0x05D3 -> 0x000005D3
0.86915888 0x05D4 -> 0x000005D4
0.87149533 0x05D5 -> 0x000005D5
0.87383178 0x05D6 -> 0x000005D6
0.87616822 0x05D7 -> 0x000005D7
0.87850467 0x05D8 -> 0x000005D8
0.88084112 0x05D9 -> 0x000005D9
0.88317757 0x05DA -> 0x000005DA
0.88551402 0x05DB -> 0x000005DB
0.88785047 0x05DC -> 0x000005DC
0.89018692 0x05DD -> 0x000005DD
0.89252336 0x05DE -> 0x000005DE
0.89485981 0x05DF -> 0x000005DF
0.89719626 0x05E0 -> 0x000005E0
