Fractional time	Rough Address	'Time’ in memory		LTC Time
0.03338898163606	1BCAAF7D	1617.360938	1617.399979	00:00:20:01
0.03338898163606	1BCADB7A	1617.4	1617.439042	00:00:20:02
0.03338898163606	1BCB0778	1617.439063	1617.478104	00:00:20:03
0.03338898163606	1BCB3375	1617.478125	1617.517167	00:00:20:04
0.03338898163606	1BCB5F72	1617.517188	1617.556229	00:00:20:05
0.03338898163606	1BCB8B70	1617.55625	1617.595292	00:00:20:06
0.03338898163606	1BCBB76D	1617.595313	1617.634354	00:00:20:07
0.03338898163606	1BCBE36A	1617.634375	1617.673417	00:00:20:08
0.03338898163606	1BCC0F68	1617.673438	1617.712479	00:00:20:09
0.03338898163606	1BCC3B65	1617.7125	1617.751542	00:00:20:10
0.03338898163606	1BCC6762	1617.751563	1617.790604	00:00:20:11
0.03338898163606	1BCC935F	1617.790625	1617.829667	00:00:20:12
0.03338898163606	1BCCBF5D	1617.829688	1617.868729	00:00:20:13
0.03338898163606	1BCCEB5A	1617.86875	1617.907792	00:00:20:14
0.03338898163606	1BCD1758	1617.907813	1617.946854	00:00:20:15
0.03338898163606	1BCD4355	1617.946875	1617.985917	00:00:20:16
0.03338898163606	1BCD6F52	1617.985938	1618.024979	00:00:20:17
0.03338898163606	1BCD9B4F	1618.025	1618.064042	00:00:20:18
0.03338898163606	1BCDC74D	1618.064063	1618.103104	00:00:20:19
0.03338898163606	1BCDF34A	1618.103125	1618.142167	00:00:20:20
0.03338898163606	1BCE1F47	1618.142188	1618.181208	00:00:20:21
0.03338898163606	1BCE4B3E	1618.181229	1618.220271	00:00:20:22
0.03338898163606	1BCE773C	1618.220292	1618.259333	00:00:20:23
0.03338898163606	1BCEA339	1618.259354	1618.298396	00:00:20:24
0.035058430717863	1BCECF37	1618.298417	1618.337458	00:00:21:00
0.035058430717863	1BCEFB34	1618.337479	1618.376521	00:00:21:01
0.035058430717863	1BCF2731	1618.376542	1618.415583	00:00:21:02
0.035058430717863	1BCF532E	1618.415604	1618.454646	00:00:21:03
0.035058430717863	1BCF7F2C	1618.454667	1618.493708	00:00:21:04
0.035058430717863	1BCFAB29	1618.493729	1618.532771	00:00:21:05
0.035058430717863	1BCFD726	1618.532792	1618.571833	00:00:21:06
0.035058430717863	1BD00324	1618.571854	1618.610896	00:00:21:07
0.035058430717863	1BD02F21	1618.610917	1618.649958	00:00:21:08
0.035058430717863	1BD05B1E	1618.649979	1618.689021	00:00:21:09
0.035058430717863	1BD0871C	1618.689042	1618.728083	00:00:21:10
0.035058430717863	1BD0B319	1618.728104	1618.767146	00:00:21:11
0.035058430717863	1BD0DF16	1618.767167	1618.806208	00:00:21:12
0.035058430717863	1BD10B13	1618.806229	1618.845271	00:00:21:13
0.035058430717863	1BD13711	1618.845292	1618.884333	00:00:21:14
0.035058430717863	1BD1630E	1618.884354	1618.923438	00:00:21:15
0.035058430717863	1BD18F17	1618.923458	1618.9625	00:00:21:16
0.035058430717863	1BD1BB15	1618.962521	1619.001563	00:00:21:17
0.035058430717863	1BD1E712	1619.001583	1619.040625	00:00:21:18
0.035058430717863	1BD2130F	1619.040646	1619.079688	00:00:21:19
0.035058430717863	1BD23F0C	1619.079708	1619.11875	00:00:21:20
0.035058430717863	1BD26B0A	1619.118771	1619.157813	00:00:21:21
0.035058430717863	1BD29707	1619.157833	1619.196875	00:00:21:22
0.035058430717863	1BD2C304	1619.196896	1619.235938	00:00:21:23
0.035058430717863	1BD2EF02	1619.235958	1619.275	00:00:21:24
0.036727879799666	1BD31AFF	1619.275021	1619.314063	00:00:22:00
0.036727879799666	1BD346FC	1619.314083	1619.353125	00:00:22:01
0.036727879799666	1BD372FA	1619.353146	1619.392188	00:00:22:02
0.036727879799666	1BD39EF7	1619.392208	1619.43125	00:00:22:03
0.036727879799666	1BD3CAF4	1619.431271	1619.470313	00:00:22:04
0.036727879799666	1BD3F6F1	1619.470333	1619.509375	00:00:22:05
0.036727879799666	1BD422EF	1619.509396	1619.548438	00:00:22:06
0.036727879799666	1BD44EEC	1619.548458	1619.5875	00:00:22:07
